item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q100803850,Fuori era primavera: Viaggio nell'Italia del lockdown,documentary film directed by Gabriele Salvatores,Fuori era primavera,film del 2020 diretto da Gabriele Salvatores,Films,entity
Q1008351,Rio Bravo,1959 American Western film directed by Howard Hawks,Un dollaro d'onore,film del 1959 diretto da Howard Hawks,Films,entity
Q100889636,Decision to Leave,2022 film directed by Park Chan-wook,Decision to Leave,film del 2022 diretto da Park Chan-wook,Films,entity
Q100941289,Rose Island,2020 film directed by Sydney Sibilia,L'incredibile storia dell'Isola delle Rose,film del 2020 diretto da Sydney Sibilia,Films,entity
Q1009670,Bunny,1998 film by Chris Wedge,Bunny,film del 1998 diretto da Chris Wedge,Films,entity
Q100967106,Shadows,2020 film by Carlo Lavagna,Shadows,film del 2020 diretto da Carlo Lavagna,Films,entity
Q100968035,A Bump Along the Way,2019 film by Shelly Love,A Bump Along the Way,film del 2019 diretto da Shelly Love,Films,entity
Q1009708,Bunny Lake Is Missing,1965 film by Otto Preminger,Bunny Lake è scomparsa,film del 1965 diretto da Otto Preminger,Films,entity
Q100975403,Tater Tot & Patton,2017 film directed by Andrew Kightlinger,Tater Tot e Patton,Film del 2017 diretto da Andrew Kightlinger,Films,entity
Q1009788,The Conversation,1974 film by Francis Ford Coppola,La conversazione,film del 1974 diretto da Francis Ford Coppola,Films,entity
Q100995073,Si muore solo da vivi,film directed by Alberto Rizzi,Si muore solo da vivi,film del 2020 diretto da Alberto Rizzi,Films,entity
Q101001959,Skylines,2020 film by Liam O'Donnell,Skylines,film del 2020 diretto da Liam O'Donnell,Films,entity
Q101002778,Terrifier 2,2022 film directed by Damien Leone,Terrifier 2,film del 2022 diretto da Damien Leone,Films,entity
Q1010099,Get Carter,2000 film by Stephen Kay,La vendetta di Carter,"film del 2000, diretto da Stephen Kay",Films,entity
Q101010925,Wonderland,film directed by Kim Tae-yong,Wonderland,film del 2024 diretto da Kim Tae-yong,Films,entity
Q101043806,Artemisia Gentileschi: Warrior Painter,2020 film by Jordan River,"Artemisia Gentileschi, pittrice guerriera",film del 2020 diretto da Jordan River,Films,entity
Q101068177,Vagabond Luck,1919 film directed by Scott R. Dunlap,Vagabond Luck,film del 1919 diretto da Scott R. Dunlap,Films,entity
Q101069738,Resident Evil: Welcome to Raccoon City,2021 film directed by Johannes Roberts,Resident Evil: Welcome to Raccoon City,film del 2021 diretto da Johannes Roberts,Films,entity
Q101091774,The Man from Toronto,2022 film directed by Patrick Hughes,The Man from Toronto,film del 2022 diretto da Patrick Hughes,Films,entity
Q101093410,Benediction,2021 film directed by Terence Davies,Benediction,film del 2021 diretto da Terence Davies,Films,entity
Q101094418,Life Goes On,2020 single by BTS,Life Goes On,singolo dei BTS del 2020,Films,entity
Q101094463,Spell,2020 film by Mark Tonderai,Spell - Maleficio,film del 2020 diretto da Mark Tonderai,Films,entity
Q101112656,The Brutalist,2024 film directed by Brady Corbet,The Brutalist,film del 2024 diretto da Brady Corbet,Films,entity
Q101118037,Finding You,2021 film directed by Brian Baugh,Quello che non so di te,film del 2021 diretto da Brian Baugh,Films,entity
Q101118878,The Virtuoso,2021 film directed by Nick Stagliano,Sicario - Ultimo incarico,film del 2021 diretto da Nick Stagliano,Films,entity
Q101144878,Christmas Wonderland,2018 television film directed by Sean Olson,Christmas Wonderland,film televisivo del 2018 diretto da Sean Olson,Films,entity
Q1011848,Gone Nutty,2002 film by Carlos Saldanha,Gone Nutty,cortometraggio d'animazione del 2002 diretto da Carlos Saldanha,Films,entity
Q101189695,The Dagger of Kamui,"adventure novel by Tetsu Yano, or an animated film adapted from it",La spada dei Kamui,film d'animazione del 1985 diretto da Rintarō,Films,entity
Q1012216,Gorillas in the Mist,1988 film directed by Michael Apted,Gorilla nella nebbia,film del 1988 diretto da Michael Apted,Films,entity
Q101223485,How To Die Young in Manila,short film directed by Petersen Vargas,How to Die Young in Manila,cortometraggio,Films,entity
Q101229556,Orphan: First Kill,2022 film directed by William Brent Bell,Orphan: First Kill,film del 2022 diretto da William Brent Bell,Films,entity
Q101229791,Maldoror,film directed by Alberto Cavallone,Maldoror,film del 1977 diretto da Alberto Cavallone,Films,entity
Q101244436,American Fever,1978 film directed by Claudio De Molinis,American Fever,film italiano del 1978,Films,entity
Q101244958,The Great Alaskan Race,2019 film directed by Brian Presley,Balto e Togo - La leggenda,film del 2020 diretto da Brian Presley,Films,entity
Q101245020,"Fiori, Fiori, Fiori",2020 Italian short film,"Fiori, fiori, fiori!",cortometraggio italiano del 2020,Films,entity
Q101245060,The Tramp and the Mattress Makers,1906 film directed by Georges Méliès,La Cardeuse de matelas,film cortometraggio del 1906 diretto da Georges Méliès,Films,entity
Q101245070,The Bewitched Trunk,1904 film directed by Georges Méliès,Le Coffre enchanté,film cortometraggio del 1904 diretto da Georges Méliès,Films,entity
Q101245145,The Ballet-Master's Dream,1903 film directed by Georges Méliès,Le Rêve du maître de ballet,film cortometraggio del 1903 diretto da Georges Méliès,Films,entity
Q101245229,The Terrible Turkish Executioner,1904 film directed by Georges Méliès,Le Bourreau turc,film cortometraggio del 1904 diretto da Georges Méliès,Films,entity
Q101245294,The Cleansing Hour,2020 film directed by Damien LeVeck,The Cleansing Hour,film statunitense del 2019 diretto da Damien LeVeck,Films,entity
Q101245321,Ainbo: Spirit of the Amazon,2021 film directed by Richard Claus and Jose Zelada,Ainbo - Spirito dell'Amazzonia,film del 2021 diretto da Richard Claus e Jose Zelada,Films,entity
Q1013851,Key the Metal Idol,1994 original video animation anime series directed by Hiroaki Sato,Key the Metal Idol,serie OAV,Films,entity
Q101440388,Moonfall,2022 film directed by Roland Emmerich,Moonfall,film del 2022 diretto da Roland Emmerich,Films,entity
Q101472447,Mosul,2020 film directed by Matthew Michael Carnahan,Mosul,film del 2019 diretto da Matthew Michael Carnahan,Films,entity
Q101537484,Principessina,1943 film,Principessina,film del 1943 diretto da Tullo Gramantieri,Films,entity
Q101583907,Mary and Joseph: A Story of Faith,1979 film,Maria e Giuseppe - Una storia d'amore,film TV del 1979 diretto da Eric Till,Films,entity
Q1016369,Burke & Hare,2010 film directed by John Landis,Ladri di cadaveri - Burke & Hare,film del 2010 diretto da John Landis,Films,entity
Q1016657,Burma VJ,2008 Danish documentary film directed by Anders Østergaard,Burma Vj - Cronache da un paese blindato,film del 2008 diretto da Anders Østergaard,Films,entity
