item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q89207655,MM!,Japanese manga series,MM!,serie di manga
http://www.wikidata.org/entity/Q107040899,Wind Breaker,Japanese manga series,Wind Breaker,manga scritto e disegnato da Satoru Nii
http://www.wikidata.org/entity/Q106093781,The Café Terrace and Its Goddesses,Japanese manga series,The Café Terrace and Its Goddesses,serie di manga
http://www.wikidata.org/entity/Q88295103,86,Japanese manga series,86 - Eighty-Six,manga
http://www.wikidata.org/entity/Q21320643,Asgard Saga,Saint Seiya saga,saga di Asgard,saga de I Cavalieri dello zodiaco
http://www.wikidata.org/entity/Q107445470,Miss Kuroitsu from the Monster Development Department,Japanese manga series,Miss Kuroitsu from the Monster Development Department,serie di manga
http://www.wikidata.org/entity/Q77697747,Record of Ragnarok,Japanese manga series,Record of Ragnarok,serie manga
http://www.wikidata.org/entity/Q106975822,Nekonaughey,Japanese manga series,Lo Sfigatto - Nekonaughey,manga di Q-rais
http://www.wikidata.org/entity/Q106093793,Kotarō wa Hitorigurashi,Japanese manga series,Kotaro abita da solo,manga scritto e disegnato da Mami Tsumura
http://www.wikidata.org/entity/Q7809888,Titans Tomorrow,2005 DC comic book story arc,Titans Tomorrow,arco narrativo a fumetti
http://www.wikidata.org/entity/Q2434476,Tintin in Tibet,twentieth volume of The Adventures of Tintin,Tintin in Tibet,albo della serie a fumetti Le avventure di Tintin
http://www.wikidata.org/entity/Q97184870,Hokkaido Gals Are Super Adorable!,Japanese manga series,Hokkaido Gals Are Super Adorable!,serie di manga
